gene,loading,abs_loading
gene-U712_14360,0.19461678,0.19461678
gene-U712_08455,0.16187526,0.16187526
gene-U712_19480,0.1406494,0.1406494
gene-U712_14420,0.13294719,0.13294719
gene-U712_08460,0.13027942,0.13027942
gene-U712_05870,0.12474084,0.12474084
gene-U712_04095,0.12371954,0.12371954
gene-U712_04090,0.12287305,0.12287305
gene-U712_19490,0.12224303,0.12224303
gene-U712_10210,0.122157894,0.122157894
gene-U712_04085,0.121980615,0.121980615
gene-U712_14415,0.11803285,0.11803285
gene-U712_09470,0.11435959,0.11435959
gene-U712_19485,0.11332339,0.11332339
gene-U712_01805,0.11167637,0.11167637
gene-U712_04100,0.11119464,0.11119464
gene-U712_20290,0.108160555,0.108160555
gene-U712_15180,0.10660463,0.10660463
gene-U712_15910,0.10639286,0.10639286
gene-U712_01810,0.10413831,0.10413831
gene-U712_11735,0.10216933,0.10216933
gene-U712_14425,0.101383075,0.101383075
gene-U712_10180,0.09884069,0.09884069
gene-U712_15925,0.09504657,0.09504657
gene-U712_03020,0.09022796,0.09022796
gene-U712_14355,0.08683693,0.08683693
gene-U712_17700,0.08638535,0.08638535
gene-U712_11720,0.086365364,0.086365364
gene-U712_11730,0.08547053,0.08547053
gene-U712_11725,0.08386802,0.08386802
